,Quality,ID#1,ID#2,#1 String,#2 String
42,1,1356545,1356676,"Sorkin, who faces charges of conspiracy to obstruct justice and lying to a grand jury, was to have been tried separately.",Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury.
44,1,921159,921272,"The US chip market is expected to decline 2.1 percent this year, then grow 15.7 percent in 2004.","The Americas market will decline 2.1 percent to $30.6 billion in 2003, and then grow 15.7 percent to $35.4 billion in 2004."
45,1,740726,739960,"The group will be headed by State Department official John S. Wolf, who has served in Australia, Vietnam, Greece and Pakistan.","The group will be headed by John S. Wolf, an assistant secretary of state who has served in Australia, Vietnam, Greece and Pakistan."
47,1,1041293,1041421,The company has said it plans to restate its earnings for 2000 through 2002.,"The company had announced in January that it would have to restate earnings for 2002, 2001 and perhaps 2000."
48,1,2630545,2630577,Results from No. 2 U.S. soft drink maker PepsiCo Inc. PEP.N were likely to be in the spotlight.,Results from No. 2 U.S. soft drink maker PepsiCo Inc. (nyse: PEP - news - people) were likely to be in the spotlight.
49,1,1014977,1014962,"""The result is an overall package that will provide significant economic growth for our employees over the next four years.""","""The result is an overall package that will provide a significant economic growth for our employees over the next few years,"" he said."
50,1,3039165,3039036,Wal-Mart said it would check all of its million-plus domestic workers to ensure they were legally employed.,It has also said it would review all of its domestic employees more than 1 million to ensure they have legal status.
51,1,2674986,2674800,"The songs are on offer for 99 cents each, or $9.99 for an album.",The company will offer songs for 99 cents and albums for $9.95.
52,1,2193346,2193362,"However, the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive.","The talk, however,has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive."
53,1,149798,149596,Comcast Class A shares were up 8 cents at $30.50 in morning trading on the Nasdaq Stock Market.,The stock rose 48 cents to $30 yesterday in Nasdaq Stock Market trading.
55,1,426112,426210,"This integrates with Rational PurifyPlus and allows developers to work in supported versions of Java, Visual C# and Visual Basic .NET.","IBM said the Rational products were also integrated with Rational PurifyPlus, which allows developers to work in Java, Visual C# and VisualBasic .Net."
56,1,213302,213135,The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president’s appearance.,"The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president's appearance, Crosby said."
58,1,3035675,3035707,Several of the questions asked by the audience in the fast-paced forum were new to the candidates.,Several of the audience questions were new to the candidates as well.
59,1,622300,622384,"Meanwhile, the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November.","The global death toll from SARS was at least 767, with more than 8,300 people sickened since the virus first appeared in southern China in November."
63,1,1097577,1097664,"Contrary to what PeopleSoft management would have you believe, Oracle intends to fully support PeopleSoft customers and products for many years to come.""","Ellison said that contrary to the contentions of PeopleSoft management, Oracle intends to ""fully support PeopleSoft customers and products"" for many years to come."
66,1,423245,423228,"The downtime, to take place in May and June, is expected to cut production by 60 million to 70 million board feet.",The downtime is expected to take 60 million to 70 million board feet out of the companys system.
67,1,1336931,1336883,"On July 3, Troy is expected to be sentenced to life in prison without parole.",Troy faces life in prison without parole at his July 30 sentencing.
68,1,2208366,2208492,"The University of Michigan released a new undergraduate admission process Thursday, dropping a point system the U.S. Supreme Court found unconstitutional in June.",The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates.
69,1,2405153,2405189,The processors were announced in San Jose at the Intel Developer Forum.,"The new processor was unveiled at the Intel Developer Forum 2003 in San Jose, Calif."
71,1,1641162,1641062,It said the damage to the wing provided a pathway for hot gasses to penetrate the ship's thermal armor during Columbia's ill-fated reentry.,The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia's thermal armour during its fatal re-entry.
72,1,244062,243899,"Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O'Neill's family drama, ""Long Day's Journey Into Night.""","Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama, Long Days Journey Into Night."""
73,1,1439663,1439808,"The top rate will go to 4.45 percent for all residents with taxable incomes above $500,000.","For residents with incomes above $500,000, the income-tax rate will increase to 4.45 percent."
74,1,2070455,2070493,But Secretary of State Colin Powell brushed off this possibility Wednesday.,Secretary of State Colin Powell last week ruled out a non-aggression treaty.
75,1,1996069,1996101,"Thomas and Tauzin say, as do many doctors, that the Bush administration has the power to correct some of those flaws.","Like many doctors, Mr. Thomas and Mr. Tauzin say the Bush administration has the power to correct some of those flaws."
76,1,23807,23792,"Based on experience elsewhere, it could take up to two years before regular elections are held, he added.","U.S. military officials have said it could take up to two years before regular elections are held, based on experiences elsewhere in the world."
77,1,3147370,3147525,"The results appear in the January issue of Cancer, an American Cancer Society journal, being published online today.","The results appear in the January issue of Cancer, an American Cancer Society (news - web sites) journal, being published online Monday."
78,1,1211287,1210972,"The first biotechnology treatment for asthma, the constriction of the airways that affects millions around the world, received approval from the US Food and Drug Administration yesterday.","The first biotechnology treatment for asthma, the constriction of the airways that affects millions of Americans, received approval from the U.S. Food and Drug Administration on Friday."
79,1,3300040,3299992,"The delegates said raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations, bank accounts of terror-related organizations and money transfers.","Bin Laden’s men pointed out that raising and distributing funds has been complicated by the U.S. crackdown on jihadi charitable foundations, bank accounts of terror-related organizations and money transfers."
80,1,2512758,2512692,"FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations, U.S. officials said on Thursday.",A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations.
82,1,3257588,3257537,"The latest shooting linked to the spree was a November 11 shooting at Hamilton Central Elementary School in Obetz, about 3km from the freeway.","Another shooting linked to the spree occurred Nov. 11 at Hamilton Central Elementary in Obetz, about two miles from the freeway."
85,1,2560856,2560808,PDC will also almost certainly fan the flames of speculation about Longhorn's release.,PDC will also almost certainly reignite speculation about release dates of Microsoft's new products.
86,1,2728434,2728420,Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted.,It also disclosed that sales -- a figure closely watched by analysts as a barometer of its health -- were significantly higher than industry experts expected.
87,1,3277643,3277659,"NEC is pitching its wireless gear and management software to a variety of industries, including health care and hospitality.","NEC's pitching its wireless gear and management software to a variety of industries, including healthcare and hospitality, a company spokesman said."
88,1,2621134,2621174,"Elena Slough, considered to be the nation's oldest person and the third oldest person in the world, died early Sunday morning.","ELENA Slough, considered to be the oldest person in the US and the third oldest person in the world, has died."
89,1,2529661,2529575,"""We are declaring war on sexual harassment and sexual assault.","""We have declared war on sexual assault and sexual harassment,"" Rosa said."
93,1,304482,304430,"El Watan, an Algerian newspaper, reported that the kidnappers fiercely resisted the army assault this morning, firing Kalashnikov rifles.","El Watan, an Algerian newspaper, reported that the kidnappers put up fierce resistance during the army assault, firing Kalashnikov rifles."
96,1,224868,225233,Shares of Hartford rose $2.88 to $46.50 in New York Stock Exchange composite trading.,"Shares of Hartford were up $2.28, or 5.2 percent, to $45.90 in midday trading."
99,1,129193,129302,"Tokyo Electric Power Co., Asia's largest power company, won approval to restart the first of 17 nuclear reactors it shut down after it admitted falsifying inspection reports.","Tokyo Electric Power Co., Asia's largest power company, restarted the first of 17 nuclear reactors it shut down after admitting it falsified inspection reports."
100,1,2843951,2843930,"Tuition at four-year private colleges averaged $19,710 this year, up 6 percent from 2002.","For the current academic year, tuition at public colleges averaged $4,694, up almost $600 from the year before."
102,1,1685339,1685429,"The only announced Republican to replace Davis is Rep. Darrell Issa of Vista, who has spent $1.71 million of his own money to force a recall.","So far the only declared major party candidate is Rep. Darrell Issa, a Republican who has spent $1.5 million of his own money to fund the recall."
103,1,2624848,2624568,"He said that with the U.S.-backed peace plan, or road map, “in a coma,” the attack could easily widen conflict through the region.","Mr Jouejati said that with the US-backed road map ""in a coma"" the attack could easily widen through the region."
104,1,2293340,2293455,"A successful attack could be launched within any type of document that supports VBA, including Microsoft Word, Excel or PowerPoint.","But this could happen with any document format that supports VBA, including Word, Excel or PowerPoint."
105,1,2750203,2750153,"Officials at Brandeis said this was an ""extremely heartrending"" time for the campus.","""This is an extremely heartrending time for the entire Brandeis University community."
107,1,1946553,1946598,Fewer than a dozen FBI agents were dispatched to secure and analyze evidence.,Fewer than a dozen FBI agents will be sent to Iraq to secure and analyze evidence of the bombing.
108,1,2216702,2216672,Those who only had surgery lived an average of 46 months.,"For those who got surgery alone, median survival was 41 months."
109,1,742090,742015,Tonight a spokesman for Russia's foreign ministry said the ministry may issue a statement on Thursday clarifying Russia's position on cooperation with Iran's nuclear-energy efforts.,Tonight a spokesman for the Russian Foreign Ministry said it might issue a statement on Thursday clarifying Russia's position on aiding Iran's nuclear-energy efforts.
110,1,1795859,1795818,"A day earlier, a committee appointed by reformist President Mohammad Khatami called for an independent judicial inquiry into Kazemi's death.","A day earlier, a committee appointed by President Mohammad Khatami had called for an independent inquiry into the 54-year-old photojournalist's death."
111,1,2592956,2592914,"The suite comes complete with a word processor, spreadsheet, presentation software and other components, while continuing its tradition of utilizing an XML-based file format.","The suite includes a word processor, spreadsheet, presentation application (analogous to PowerPoint), and other components -- all built around the XML file format."
112,1,2845442,2845257,"Downstream at Mount Vernon, the Skagit River was expected to crest at 36 feet -- 8 feet above flood stage -- tonight, Burke said.","The Skagit was expected to crest during the night at 38 feet at Mount Vernon, 10 feet above flood stage, the National Weather Service said."
115,1,758342,758501,Physicians who violate the ban would be subject to fines and up to two years in prison.,"Physicians who perform the procedure would face up to two years in prison, under the bill."
117,1,1465425,1464865,"For example, Anhalt said, children typically treat a 20-ounce soda bottle as one serving, although it actually contains 2 ½ 8-ounce servings.","Anhalt said children typically treat a 20-ounce soda bottle as one serving, while it actually contains 2.5."
119,1,1168132,1167672,"Kline's opinion dealt specifically with abortion providers, but it also would apply to doctors providing other services, such as prenatal care, to a pregnant child under 16.","Kline's opinion dealt specifically with abortion providers, but later his office said it also would apply to doctors providing services such as prenatal care to pregnant girls under 16."
120,1,1634651,1634798,"The United Nations' International Atomic Energy Agency asked for information on the allegation after the dossier was published, but Britain did not provide any, U.N. officials said.","The International Atomic Energy Agency asked for information on the uranium assertions after London's dossier was published, but Britain did not provide any, U.N. officials said."
121,1,2189818,2189911,"Sixteen days later, as superheated air from the shuttle's reentry rushed into the damaged wing, ""there was no possibility for crew survival,"" the board said.","Sixteen days later, as superheated air from the shuttle’s re-entry rushed into the damaged wing, ‘‘there was no possibility for crew survival,’’ the board said."
122,1,995311,995560,"""The free world and those who love freedom and peace must deal harshly with Hamas and the killers,"" he told reporters as he emerged from a church service.","""It is clear that the free world, those who love freedom and peace, must deal harshly with Hamas and the killers,"" he said."
124,1,14874,14831,"Powell fired back: ""He's accusing the president of a ludicrous act,"" he said.","If so, Powell said, he's calling the president ludicrous, too."
125,1,1967578,1967664,The decision to issue new guidance has been prompted by intelligence passed to Britain by the FBI in a secret briefing in late July.,Scotland Yard's decision to issue new guidance has been prompted by new intelligence passed to Britain by the FBI in late July.
126,1,317570,317290,"The memo on protecting sales of Windows and other desktop software mentioned Linux, a still small but emerging software competitor that is not owned by any specific company.","The memo specifically mentioned Linux, a still small but emerging software competitor that is not owned by any specific company."
127,1,2047034,2046820,"Unable to find a home for him, a judge told mental health authorities they needed to find supervised housing and treatment for DeVries somewhere in California.",The judge had told the state Department of Mental Health to find supervised housing and treatment for DeVries somewhere in California.
128,1,84518,84541,"Also Tuesday, the United States also released more Iraqi prisoners of war, and officials announced that all would soon be let go.","Meanwhile in southern Iraq, the United States released more Iraqi prisoners of war, and officials announced that all would be let go soon."
129,1,2046630,2046644,"The decision came a year after Whipple ended federal oversight of the district's racial balance, facilities, budget, and busing.","The decision came a year after Whipple ended federal oversight of school busing as well as the district's racial balance, facilities and budget."
132,1,2521336,2521360,"""We had nothing to do with @Stake's internal personnel decision,"" Microsoft spokesman Sean Sundwell said.","""Microsoft had absolutely nothing to do with AtStake's internal personnel decision,"" Sundwall said."
133,1,3264615,3264641,"Prosecutors said there is no question Waagner was behind the letters, which were sent at the same time of the anthrax attacks.","Prosecutors said there is no question Waagner was behind the letters, which were sent at the same time that real anthrax attacks were killing people in 2001."
134,1,262374,262921,"His plan would cost more than $200 billion annually, which Gephardt would pay for by repealing Bush's tax cuts.",His plan would cost over $200 billion annually and be paid for by repealing Bush's tax cuts.
135,1,2939925,2939981,There had been fears that the 35 year-old wouldn't be able to conceive after suffering two ectopic pregnancies and cancer of the uterus.,There were fears that Heather would never have children after suffering two ectopic pregnancies and cancer of the uterus.
137,1,2031076,2031038,"Prosecutors said Paracha, if convicted, could face at least 17 years in prison.",Paracha faces at least 17 years in prison if convicted.
138,1,27639,27668,"More than half of the songs were purchased as albums, Apple said.",Apple noted that half the songs were purchased as part of albums.
140,1,1909408,1909429,"""This deal makes sense for both companies,"" Halla said in a prepared statement.","Brian Halla, CEO of NatSemi, claimed the deal made sense for both companies."
141,1,3034583,3034604,"Smugglers in a van chased down a pickup and SUV carrying other smugglers and illegal immigrants, said Pinal County Sheriff Roger Vanderpool.","People in a van opened fire on a pickup and SUV believed to be transporting illegal immigrants, said Pinal County Sheriff Roger Vanderpool."
142,1,1257820,1257777,"Tyco later said the loan had not been forgiven, and Swartz repaid it in full, with interest, according to his lawyer, Charles Stillman.","Tyco has said the loan was not forgiven, but that Swartz fully repaid it with interest, according to his lawyer, Charles Stillman."
144,1,2706551,2706185,"While Bolton apparently fell and was immobilized, Selenski used the mattress to scale a 10-foot, razor-wire fence, Fischi said.","After the other inmate fell, Selenski used the mattress to scale a 10-foot, razor-wire fence, Fischi said."
146,1,813945,813925,"Ms. Haque, meanwhile, was on her turquoise cellphone with the smiley faces organizing the prom.","Fatima, meanwhile, was on her turquoise cell phone organizing the prom."
147,1,2851677,2851855,"But he added that the New York-based actor and producer is ""a private person and doesn't care to have his treatment out for public consumption.""","But he added that De Niro is ""a private person and doesn't care to have his treatment out for public consumption."""
148,1,895812,895754,"While a month's supply of aspirin can cost less than $10, the equivalent amount of ticlopidine can run significantly more than $100.","While a month's supply of aspirin can cost under $10, the equivalent amount of ticlopidine can run well over $100."
149,1,2534473,2534504,She estimated it would take three months and would require cancellation of a sub-audit of the Department of Environmental Quality.,She said it would take an estimated three months to conduct and require the cancellation of a sub-audit of the Department of Environmental Quality.
151,1,3285348,3285324,"The virus kills roughly 36,000 people in an average year, according to the U.S. Centers for Disease Control and Prevention.","Complications from flu kill roughly 36,000 Americans in an average year, according to the U.S. Centers for Disease Control and Prevention."
152,1,424071,424093,"In two new schemes, people posing as IRS representatives target families of armed forces members and e-mail users.",Two new schemes target families of those serving in the military and e-mail users.
154,1,2404345,2404222,"Miss Novikova said while there is no standard weight for ballerinas, Miss Volochkova is 'bigger than others'.","Commenting on the firing today, Ms. Novikova said that there was no standard weight for ballerinas but that Ms. Volochkova ""is bigger than others."""
155,1,2485432,2485492,Both have aired videotapes of ex-president Saddam Hussein encouraging Iraqis to fight the U.S. occupation of Iraq.,"Both have aired videotapes apparently from deposed Iraqi President Saddam Hussein, encouraging Iraqis to fight the U.S. occupation."
156,1,981097,981018,"Under the program, U.S. officials work with foreign port authorities to identify, target and search high-risk cargo.","Under the program, US officials work with foreign port authorities to seek out high-risk cargo before it can reach the United States."
157,1,2607361,2607320,"And if we don't do this, innocent people on the ground are going to die, too.""","Crews are told: ""If we don't do this, innocent people on the ground are going to die"", he said."
158,1,218896,219064,"""It's probably not the easiest time to take over the shuttle program,"" he added, ""but I look forward to the challenge.","""It is probably not the easiest time to come in and take over the shuttle program, but then again, I look forward to the challenge,"" he said."
159,1,313947,313222,"As a result, Nelson now faces up to 10 years' jail instead of life.",The verdict means Nelson faces up to 10 years in prison rather than a possible life sentence.
160,1,434842,434929,"With all precincts reporting, Fletcher — a three-term congressman from Lexington — had an overwhelming 57 percent of the vote.","With all precincts reporting, Fletcher had 88,747 votes, or 57 percent of the total."
162,1,2895172,2895264,"Shadrin said Khodorkovsky's aircraft was approached by officers identifying themselves as members of the FSB intelligence service, the domestic successor to the Soviet KGB.",Shadrin said Khodorkovsky's aircraft was approached by officers identifying themselves as members of the FSB domestic intelligence service.
163,1,386627,386521,"She claimed all the babies were born full-term and died within hours, he said.","""What she told our investigators was that all the babies were born full-term and then died within hours,"" Hughes said."
164,1,3440566,3440416,French Foreign Minister Dominique de Villepin was scheduled to arrive Sharm el-Sheikh on Wednesday.,"The French Foreign Minister, Dominique de Villepin, is also expected to attend."
165,1,853127,853144,"They believe the same is true in humans, giving a 30 per cent higher risk of the disease.","The researchers believe the same is true in humans, translating to a 30 per cent greater risk of the disease."
167,1,1053869,1053207,U.S. law enforcement officials are sneering at Dar Heatherington's version of the events which thrust her into the public spotlight.,U.S. law enforcement officials are sneering at Dar Heatherington's version of of the events -- including a police conspiracy to discredit her -- which thrust her into the public spotlight.
168,1,1026659,1026185,The Saudi newspaper Okaz reported Monday that suspects who escaped Saturday's raid fled in a car that broke down on the outskirts of Mecca Sunday afternoon.,The newspaper Okaz reported that the six suspects arrested Sunday fled the raid in a car that broke down on the outskirts of Mecca.
169,1,1341925,1342201,"Michael Mitchell, the chief public defender in Baton Rouge who is representing Lee, did not answer his phone Wednesday afternoon.","Michael Mitchell, the chief public defender in Baton Rouge who is representing Lee, was not available for comment."
170,1,2663667,2663623,"In Canada, the booming dollar will be in focus again as it tries to stay above the 75 cent (U.S.) mark.","In Canada, the surging dollar was in focus again as it struggled and just failed to stay above the 75 cent (U.S.) mark."
171,1,2305924,2305736,"They are tired of paying the high cost of CDs and DVDs and prefer more flexible forms of on-demand media delivery.""","Consumers, tired of paying high prices for CDs and DVDs, are looking for flexible forms of on-demand media delivery."
172,1,960466,960881,"""The bolt catcher is not as robust as it is supposed to be,"" the board's chairman, retired Adm. Hal Gehman, said.","""The bolt catcher is not as robust"" as it should be, said retired Navy Admiral Harold W. Gehman Jr., the board chairman."
173,1,129995,129864,"Morgan Stanley raised its rating on the beverage maker to ""overweight"" from ""equal-weight"" saying in part that pricing power with its bottlers should improve in 2004.","Morgan Stanley raised its rating on the company to ""overweight"" from ""equal-weight,"" saying the beverage maker's pricing power with bottlers should improve in 2004."
174,1,356759,356778,"The Interior Minister, Al Mustapha Sahel, said the investigation ""points to a group that has been arrested recently"", an apparent reference to Djihad Salafist.","Moroccan Interior Minister Al Mustapha Sahel told state-run 2M television late Saturday the investigation ""points to a group that has been arrested recently"" an apparent reference to Salafist Jihad."
176,1,2949437,2949407,"The report was found Oct. 23, tucked inside an old three-ring binder not related to the investigation.",The report was found last week tucked inside a training manual that belonged to Hicks.
178,1,3088078,3087945,"Muslim immigrants have used the networks - which rely on wire transfers, couriers and overnight mail - to send cash to their families overseas.","Muslim immigrants have used the networks _ which rely on wire transfers, couriers and overnight mail _ to send stashes of cash overseas to their families."
179,1,1032643,1032617,"Also arrested Friday was Claudia Carrizales de Villa, 34, a Mexican citizen who lives in Harlingen.","Also arrested Friday was Claudia Carrizales de Villa, 34, a citizen of Mexico residing in the border city of Harlingen, Texas."
180,1,1750630,1750716,"""We condemn the Governing Council headed by the United States,"" Muqtada al Sadr said in a sermon at a mosque.","""We condemn and denounce the Governing Council, which is headed by the United States,"" Moqtada al-Sadr said."
181,1,2891280,2891366,"Mrs Boncyk's husband, Wayne, had taken the family car to work, so his wife and children had to ride with neighbours.","Mrs. Boncyk's husband, Wayne, had taken the family's only car to work, so she and the children had to catch a ride with neighbors."
182,1,2866295,2866282,Ukrainian President Leonid Kuchma today cut short a visit to Latin America as a bitter border wrangle between Ukraine and Russia deteriorates further.,The dispute has led Ukrainian president Leonid Kuchma to cut short a state visit to Latin America.
183,1,822517,822439,"For the weekend, the top 12 movies grossed $157.1 million, up 52 percent from the same weekend a year earlier.","The overall box office soared, with the top 12 movies grossing $157.1 million, up 52 percent from a year ago."
184,1,1502941,1502927,Platinum prices soared to 23-year highs earlier this year after President Bush (news - web sites) proposed investing $1.2 billion for research on fuel cell-powered vehicles.,Platinum prices soared to 23-year highs earlier this year after U.S. President George W. Bush proposed investing $1.2 billion for research on fuel cell-powered vehicles.
186,1,1243593,1243934,"""Nobody really knows what happened except me and that guard,"" Kaye said, ""and I can assure you that what he said happened didn't happen.""","""Nobody really knows what happened there except for me and the guard, and I can assure you that what he said happened didn't happen,"" Kaye said."
188,1,221462,221512,At the time federal investigators were looking into how CFSB allocated shares of initial public stock offerings.,A federal grand jury and the Securities and Exchange Commission were looking into how the company allocated shares of initial public stock offerings.
190,1,2451691,2451742,October heating oil futures settled .85 cent lower at 69.89 cents a gallon.,October heating oil ended down 0.41 cent to 70.74 cents a gallon.
191,1,2282608,2282544,"By 2007, antivirus solutions will carry a worldwide price tag of $4.4 billion--double that of five years earlier.","By 2007, antivirus solutions will carry a worldwide price tag double that of 2002: $4.4 billion."
193,1,379724,379692,"ConAgra stock closed Monday on the New York Stock Exchange at $21.63 a share, down 11 cents.","ConAgra shares closed Monday at $21.63 a share, down 11 cents, on the New York Stock Exchange."
194,1,1156575,1156706,One of the features is the ability to delete data on a handheld device or lock down the device should a user lose it.,One of the features is the ability to delete data on a handheld device if a user loses or locks down the device.
195,1,2745055,2745022,Last month Intel raised its revenue guidance for the quarter to between $7.6 billion and $7.8 billion.,"At the end of the second quarter, Intel initially predicted sales of between $6.9 billion and $7.5 billion."
196,1,3403347,3403527,"""I just got carried away and started making stuff,"" Byrne said.","Byrne says he got carried away with PowerPoint and just ""started making stuff."""
197,1,2037906,2038005,"Georgia cannot afford to not get funding,"" said Dr. Melinda Rowe, Chatham County's health director.","Georgia cannot afford to not get funding,"" said county health director Dr. Melinda Rowe."
198,1,698720,698772,"Handspring shareholders will get 0.09 shares of the parent company, Palm, Inc., for each share of Handspring common stock they currently own.",Handspring's shareholders will receive 0.09 Palm shares (and no shares of PalmSource) for each share of Handspring common stock they own.
199,1,2359387,2359457,Shares of Microsoft rose 50 cents Friday to close at $28.34 a share on the Nasdaq Stock Market.,"Microsoft's stock was up 50 cents, to $28.34 a share in New York yesterday."
200,1,2403178,2403100,"Based on having at least one of the symptoms, most students had been hung over between three and 11 times in the previous year.",On average the students suffered at least one of the 13 symptoms between three and 11 times in the last year.
201,1,2205838,2205858,"Tibco has used the Rendezvous name since 1994 for several of its technology products, according to the Palo Alto, California company.","Tibco has used the Rendezvous name since 1994 for several of its technology products, it said."
202,1,1669602,1669461,"A few thousand troops, most from the division's 3rd Brigade Combat Team based at Fort Benning in Columbus, began returning last week, with flights continuing through Friday.","Several thousand 3rd Infantry troops, including the 3rd Brigade Combat Team based at Fort Benning in Columbus, Ga., began returning last week."
203,1,919801,919939,"In a televised interview on Wednesday, ECB President Wim Duisenberg said it was too soon to discuss further interest rate cuts in the 12-nation euro zone.",European Central Bank President Wim Duisenberg said in a televised interview that it was too soon to discuss further interest rate cuts in the euro zone.
204,1,578807,578726,"Teenagers at high schools where condoms were available were no more likely to have sex than other teens, a study published Wednesday finds.","Teen-agers at high schools where condoms are available are no more likely to have sex than other teens, a study says."
205,1,3277653,3277637,"Later in the day, however, a former Intel executive turned the tables in a speech where he blasted wireless as being too complicated and too difficult to install.","And Thursday, a former Intel exec blasted wireless as too insecure, too complicated, and too difficult to install."
206,1,661322,661390,He is charged in three bombings in Atlanta _ including a blast at the 1996 Olympics _ along with the bombing in Alabama.,He is charged in three bombings in Atlanta including a blast at the 1996 Olympics and one in Alabama.
208,1,1200470,1200432,"On Thursday, a Post article argued that a 50 basis point cut from the Fed was more likely.","On Thursday, a Post article argued that a 50-basis-point cut was most likely."
